% Model:              test_case_2.mph
% Version:            COMSOL 5.5.0.359
% Date:               May 13 2020, 14:38
% Dimension:          1
% Nodes:              1000
% Expressions:        1
% Description:        Line graph
% s                       Height
-1.3393393393393394       3.452631084322111E-6
-1.3353353353353352       3.4720583038686008E-6
-1.3313313313313313       3.4914986125318833E-6
-1.3273273273273274       3.51095179288675E-6
-1.3233233233233235       3.5304176321578337E-6
-1.3193193193193193       3.549895922099778E-6
-1.3153153153153152       3.569386458881123E-6
-1.3113113113113113       3.5888890429714675E-6
-1.3073073073073074       3.6090590629774267E-6
-1.3033033033033035       3.6282055327847117E-6
-1.2992992992992993       3.6473736518666937E-6
-1.2952952952952952       3.6665630806880348E-6
-1.2912912912912915       3.6857734864108505E-6
-1.2872872872872874       3.7050045427402037E-6
-1.2832832832832834       3.724255929773497E-6
-1.2792792792792793       3.7435273338540593E-6
-1.2752752752752752       3.7628184474278536E-6
-1.2712712712712713       3.782128968904369E-6
-1.2672672672672673       3.8014586025207943E-6
-1.2632632632632632       3.831865516407599E-6
-1.2592592592592593       3.853232949769702E-6
-1.2552552552552552       3.8746295212221776E-6
-1.2512512512512513       3.896054750698415E-6
-1.2472472472472473       3.917508167998E-6
-1.2432432432432432       3.938989312552207E-6
-1.2392392392392393       3.9604977331955915E-6
-1.2352352352352352       3.982032987943815E-6
-1.2312312312312312       4.003594643776467E-6
-1.2272272272272273       4.025182276426334E-6
-1.2232232232232232       4.046795470173361E-6
-1.2192192192192195       4.068433817644383E-6
-1.2152152152152154       4.090096919617842E-6
-1.2112112112112114       4.1183045745872275E-6
-1.2072072072072073       4.143346665788525E-6
-1.2032032032032032       4.168411457377863E-6
-1.1991991991991993       4.193498542310547E-6
-1.1951951951951951       4.218607522866448E-6
-1.1911911911911912       4.243738010395321E-6
-1.1871871871871873       4.2688896250694955E-6
-1.1831831831831832       4.294061995644772E-6
-1.1791791791791792       4.319254759228718E-6
-1.1751751751751751       4.344467561055296E-6
-1.1711711711711712       4.354687467686503E-6
